; ATT_LAY Data File............Version: BETA : 08-25-96


; Modified on November 24, 1998 
;
; WARNING DO NOT ALTER THIS FILE!
;
; Data file structure:
;   1-2   : Discipline & Drawing Type Code
;   4-14  : Base Layer Name
;   16-30 : NEWW Linetype  (also for "nil suffix")
;   32-34 : NEWW Color Num (also for "nil suffix")
;   36-50 : EXST Linetype
;   52-54 : EXST Color Num
;   56-70 : DEMO Linetype
;   72-74 : DEMO Color Num
;   76-90 : FUTR Linetype
;   92-94 : FUTR Color Num
;

;        1         2         3         4         5         6         7         8         9
;234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
;  |         = |             = | = |             = | = |             = | = |             = | =
BS B-BSEC-EQPM Continuous        4 Continuous        7 Dashed           40
BS B-BSEC-FUTR Dashed            4 Dashed            7 Dashed           40
BS B-BSEC-NOTE Continuous        4 Continuous        7 Dashed           40
BS B-BSEC-SENS Continuous        4 Continuous        7 Dashed           40
BS B-BSEC-URAC Dashed            1 Dashed            7 Dashed           40
CS C-SITE-DIMS Continuous      255 Continuous        7 Dashed           40
CS C-SITE-FENC Continuous       70 Continuous        7 Dashed           40
CS C-SITE-FIRE Continuous        1 Continuous        7 Dashed           40
CS C-SITE-NOTE Continuous        6 Continuous        7 Dashed           40
CS C-SITE-OTLN Continuous      131 Continuous        7 Dashed           40
CS C-SITE-PAVE Continuous        5 Continuous        7 Dashed           40
CS C-SITE-PKNG Continuous       10 Continuous        7 Dashed           40
CS C-SITE-PLNT Continuous       70 Continuous        7 Dashed           40
CS C-SITE-PROP Phantom           4 Continuous        7 Dashed           40
CS C-SITE-STRM Continuous      210 Continuous        7 Dashed           40
CS C-SITE-TOPO Dashed          255 Continuous        7 Dashed           40
CS C-SITE-RTWL Continuous      160 Continuous        7 Dashed           40
CS C-SITE-ROAD Continuous        5 Continuous        7 Dashed           40
CU C-UTIL-OVHD HIDDEN          160 HIDDEN            7 Dashed           40
CU C-UTIL-UNDR DASHED          210 DASHED            7 Dashed           40
CF C-CFAC-     Continuous       10 Continuous        7 Dashed           40
CG C-GPLN      Continuous       10 Continuous        7 Dashed           40
DF D-ACCS-AAV  Dashed            1 Dashed            7 Dashed           40
DF D-ACCS-CPA  Dashed            1 Dashed            7 Dashed           40
DF D-ACCS-LEC  Dashed            1 Dashed            7 Dashed           40
DF D-ACCS-LSA  Dashed            1 Dashed            7 Dashed           40
DF D-ACCS-NNCI Dashed            1 Dashed            7 Dashed           40
DF D-ANAL-RADI Dashed            1 Dashed            7 Dashed           40
DF D-BOSS-ATT  Hatch             1 Hatch             7 Dashed           40
DF D-BOSS-BOC  Hatch             1 Hatch             7 Dashed           40
DF D-BOSS-COM  Hatch             1 Hatch             7 Dashed           40
DF D-BOSS-OTH  Hatch             1 Hatch             7 Dashed           40
DF D-BOSS-SNFA Hatch             1 Hatch             7 Dashed           40
DF D-DEV1      Dashed            1 Dashed            7 Dashed           40
DF D-DEV2      Dashed            1 Dashed            7 Dashed           40
DF D-DEV3      Dashed            1 Dashed            7 Dashed           40
DF D-EQPM-DIMS Continuous        1 Continuous        7 Dashed           40
DF D-LECA-FLOR Dashed            1 Dashed            7 Dashed           40
DF D-LECA-OTLN Dashed            1 Dashed            7 Dashed           40
DF D-LECA-COLS Dashed            1 Dashed            7 Dashed           40
DF D-LECA-WALL Dashed            1 Dashed            7 Dashed           40
DF D-LECA-EQPM Dashed            1 Dashed            7 Dashed           40
DF D-LECA-NOTE Dashed            1 Dashed            7 Dashed           40
DF D-LECA-DIMS Dashed            1 Dashed            7 Dashed           40
DF D-MISC-ALMS Dashed            1 Dashed            7 Dashed           40
DF D-MISC-ANAL Dashed            1 Dashed            7 Dashed           40
DF D-MISC-CABL Dashed            1 Dashed            7 Dashed           40
DF D-MISC-CABT Dashed            1 Dashed            7 Dashed           40
DF D-MISC-COMM Dashed            1 Dashed            7 Dashed           40
DF D-MISC-ENDG Dashed            1 Dashed            7 Dashed           40
DF D-MISC-FURN Dashed            1 Dashed            7 Dashed           40
DF D-MISC-WIRE Dashed            1 Dashed            7 Dashed           40
DF D-MMOC-COMP Dashed            1 Dashed            7 Dashed           40
DF D-MMOC-FURN Dashed            1 Dashed            7 Dashed           40
DF D-OPSV-COMP Dashed            1 Dashed            7 Dashed           40
DF D-OPSV-FURN Dashed            1 Dashed            7 Dashed           40
DF D-POWR      Dashed            1 Dashed            7 Dashed           40
DF D-SGNL-NCP  Dashed            1 Dashed            7 Dashed           40
DF D-SGNL-STP  Dashed            1 Dashed            7 Dashed           40
DF D-SWCH-4ESS Dashed            1 Dashed            7 Dashed           40
DF D-SWCH-5ESS Dashed            1 Dashed            7 Dashed           40
DF D-SWCH-NNNS Dashed            1 Dashed            7 Dashed           40
DF D-SWCH-PCKT Dashed            1 Dashed            7 Dashed           40
DF D-SWCH-SSSC Dashed            1 Dashed            7 Dashed           40
DF D-TEMP-FRAM Dashed            1 Dashed            7 Dashed           40
DF D-TEXT-DIMS Continuous        1 Continuous        7 Dashed           40
DF D-TEXT-EQ   Continuous        1 Continuous        7 Dashed           40
DF D-TEXT-FRID Continuous        1 Continuous        7 Dashed           40
DF D-TEXT-HEAT Continuous        1 Continuous        7 Dashed           40
DF D-TEXT-MISC Continuous        1 Continuous        7 Dashed           40
DF D-TEXT-WGHT Continuous        1 Continuous        7 Dashed           40
DF D-TRPT-DACS Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-DDM  Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-DSX1 Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-DSX3 Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-FOTS Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-LGX  Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-NCOE Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-USEC Dashed            1 Dashed            7 Dashed           40
DF D-TRPT-WRLS Dashed            1 Dashed            7 Dashed           40
DF D-TTLB-BORD Continuous        1 Continuous        7 Dashed           40
DF D-TTLB-NOTE Continuous        1 Continuous        7 Dashed           40
DF Z-STNCOLM   Continuous        1 Continuous        7 Dashed           40
DF Z-STND-FLOR Continuous        1 Continuous        7 Dashed           40
DF Z-STND-INIT Dashdot2x         1 Dashdot2x         7 Dashed           40
DF Z-STND-MISC Continuous        1 Continuous        7 Dashed           40
DF Z-STND-TEXT Continuous        1 Continuous        7 Dashed           40
ED E-DLIN-COMM Continuous        4 Continuous        7 Dashed           40
ED E-DLIN-ENCL Phantom         252 Phantom           7 Dashed           40
